Category: All categories

Month,euro curs: (Romania)
2004-01,7
2004-02,7
2004-03,15
2004-04,8
2004-05,6
2004-06,10
2004-07,11
2004-08,10
2004-09,9
2004-10,11
2004-11,15
2004-12,18
2005-01,18
2005-02,23
2005-03,12
2005-04,13
2005-05,14
2005-06,15
2005-07,16
2005-08,21
2005-09,16
2005-10,15
2005-11,18
2005-12,14
2006-01,12
2006-02,16
2006-03,17
2006-04,15
2006-05,17
2006-06,18
2006-07,18
2006-08,19
2006-09,18
2006-10,17
2006-11,17
2006-12,21
2007-01,20
2007-02,21
2007-03,20
2007-04,23
2007-05,22
2007-06,27
2007-07,31
2007-08,33
2007-09,34
2007-10,32
2007-11,35
2007-12,34
2008-01,42
2008-02,40
2008-03,38
2008-04,39
2008-05,42
2008-06,38
2008-07,47
2008-08,48
2008-09,47
2008-10,73
2008-11,53
2008-12,47
2009-01,57
2009-02,49
2009-03,48
2009-04,46
2009-05,43
2009-06,44
2009-07,46
2009-08,41
2009-09,44
2009-10,49
2009-11,42
2009-12,42
2010-01,45
2010-02,44
2010-03,44
2010-04,47
2010-05,48
2010-06,60
2010-07,62
2010-08,48
2010-09,47
2010-10,45
2010-11,40
2010-12,37
2011-01,26
2011-02,25
2011-03,32
2011-04,33
2011-05,33
2011-06,35
2011-07,38
2011-08,33
2011-09,35
2011-10,34
2011-11,28
2011-12,27
2012-01,24
2012-02,21
2012-03,25
2012-04,24
2012-05,29
2012-06,30
2012-07,41
2012-08,43
2012-09,33
2012-10,29
2012-11,26
2012-12,25
2013-01,35
2013-02,33
2013-03,37
2013-04,33
2013-05,29
2013-06,43
2013-07,38
2013-08,34
2013-09,28
2013-10,30
2013-11,27
2013-12,24
2014-01,25
2014-02,26
2014-03,26
2014-04,24
2014-05,27
2014-06,30
2014-07,32
2014-08,30
2014-09,29
2014-10,26
2014-11,22
2014-12,23
2015-01,31
2015-02,27
2015-03,27
2015-04,26
2015-05,22
2015-06,29
2015-07,36
2015-08,30
2015-09,26
2015-10,24
2015-11,25
2015-12,25
2016-01,19
2016-02,20
2016-03,23
2016-04,22
2016-05,21
2016-06,34
2016-07,32
2016-08,26
2016-09,23
2016-10,23
2016-11,22
2016-12,19
2017-01,19
2017-02,23
2017-03,32
2017-04,27
2017-05,27
2017-06,27
2017-07,27
2017-08,30
2017-09,33
2017-10,30
2017-11,42
2017-12,35
2018-01,42
2018-02,41
2018-03,37
2018-04,37
2018-05,42
2018-06,37
2018-07,39
2018-08,41
2018-09,37
2018-10,34
2018-11,29
2018-12,29
2019-01,52
2019-02,53
2019-03,52
2019-04,47
2019-05,45
2019-06,51
2019-07,54
2019-08,50
2019-09,48
2019-10,45
2019-11,47
2019-12,45
2020-01,43
2020-02,47
2020-03,56
2020-04,42
2020-05,40
2020-06,42
2020-07,45
2020-08,41
2020-09,42
2020-10,39
2020-11,34
2020-12,34
2021-01,34
2021-02,36
2021-03,36
2021-04,41
2021-05,37
2021-06,41
2021-07,43
2021-08,47
2021-09,48
2021-10,40
2021-11,35
2021-12,34
2022-01,39
2022-02,43
2022-03,80
2022-04,44
2022-05,43
2022-06,43
2022-07,52
2022-08,61
2022-09,75
2022-10,53
2022-11,53
2022-12,47
2023-01,49
2023-02,48
2023-03,46
2023-04,44
2023-05,52
2023-06,43
2023-07,44
2023-08,47
2023-09,42
2023-10,36
2023-11,34
2023-12,32
2024-01,30
2024-02,26
2024-03,23
2024-04,25
2024-05,23
2024-06,21
2024-07,23
2024-08,22
2024-09,22
2024-10,19
2024-11,21
2024-12,34
2025-01,21
2025-02,24
2025-03,21
2025-04,22
2025-05,100
2025-06,42
2025-07,43
2025-08,38
2025-09,36
2025-10,34
2025-11,33
