Category: All categories

Month,recesiune: (Romania)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,15
2008-02,0
2008-03,11
2008-04,7
2008-05,6
2008-06,0
2008-07,0
2008-08,0
2008-09,12
2008-10,43
2008-11,64
2008-12,29
2009-01,18
2009-02,50
2009-03,31
2009-04,10
2009-05,12
2009-06,100
2009-07,8
2009-08,10
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,7
2010-06,7
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,3
2011-02,2
2011-03,7
2011-04,6
2011-05,8
2011-06,4
2011-07,0
2011-08,4
2011-09,5
2011-10,7
2011-11,5
2011-12,3
2012-01,6
2012-02,3
2012-03,10
2012-04,8
2012-05,10
2012-06,2
2012-07,3
2012-08,0
2012-09,2
2012-10,2
2012-11,4
2012-12,0
2013-01,1
2013-02,0
2013-03,2
2013-04,2
2013-05,2
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,2
2014-03,1
2014-04,2
2014-05,2
2014-06,2
2014-07,0
2014-08,14
2014-09,2
2014-10,0
2014-11,6
2014-12,2
2015-01,0
2015-02,1
2015-03,0
2015-04,0
2015-05,1
2015-06,2
2015-07,0
2015-08,2
2015-09,0
2015-10,2
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,1
2016-04,0
2016-05,2
2016-06,2
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,4
2016-12,0
2017-01,0
2017-02,2
2017-03,1
2017-04,0
2017-05,2
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,2
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,1
2018-06,2
2018-07,0
2018-08,0
2018-09,2
2018-10,2
2018-11,12
2018-12,3
2019-01,9
2019-02,15
2019-03,6
2019-04,3
2019-05,2
2019-06,4
2019-07,2
2019-08,7
2019-09,6
2019-10,11
2019-11,5
2019-12,3
2020-01,4
2020-02,2
2020-03,38
2020-04,14
2020-05,8
2020-06,5
2020-07,5
2020-08,8
2020-09,4
2020-10,2
2020-11,3
2020-12,2
2021-01,2
2021-02,2
2021-03,1
2021-04,1
2021-05,2
2021-06,1
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,2
2022-01,4
2022-02,18
2022-03,8
2022-04,16
2022-05,15
2022-06,12
2022-07,41
2022-08,15
2022-09,20
2022-10,24
2022-11,19
2022-12,10
2023-01,12
2023-02,4
2023-03,6
2023-04,3
2023-05,11
2023-06,9
2023-07,5
2023-08,4
2023-09,3
2023-10,3
2023-11,5
2023-12,2
2024-01,4
2024-02,15
2024-03,3
2024-04,0
2024-05,3
2024-06,2
2024-07,2
2024-08,10
2024-09,6
2024-10,6
2024-11,5
2024-12,7
2025-01,3
2025-02,5
2025-03,6
2025-04,22
2025-05,10
2025-06,4
2025-07,5
2025-08,35
2025-09,4
2025-10,4
2025-11,9
